ticker,company,price,marketCap,need,r1_score,reason
AINPF,Ain Holdings Inc.,36.86,1295626112.0,health,30,"R1: need alignment below threshold (score 12/30, need=health)"
AIMD,Ainos Inc. Common Stock,1.45,12388906.0,infrastructure,19,"R1: need alignment below threshold (score 14/30, need=infrastructure)"
AIOS,AIOS Tech Inc. Class A Common Shares,13.75,44677256.0,infrastructure,24,"R1: need alignment below threshold (score 15/30, need=infrastructure)"
AICAF,Air China Limited,0.64,13115238400.0,transport,34,"R1: need alignment below threshold (score 14/30, need=transport)"
APD,Air Products and Chemicals Inc. Common Stock,303.85,67662998291.0,infrastructure,32,"R1: need alignment below threshold (score 12/30, need=infrastructure)"
AIRT,Air T Inc. Common Stock,31.19,83643720.0,transport,30,"R1: need alignment below threshold (score 18/30, need=transport)"
WATR,Air Water Ventures Limited Ordinary Shares,2.57,81313397.0,food,26,"R1: need alignment below threshold (score 14/30, need=food)"
ANZFF,Air New Zealand Limited,0.27,873061824.0,transport,32,"R1: need alignment below threshold (score 14/30, need=transport)"
ABNB,Airbnb Inc. Class A Common Stock,190.5,114068668416.0,discretionary,24,"R1: need alignment below threshold (score 4/30, need=discretionary)"
EADSF,Airbus SE,241.0,190746804224.0,transport,28,"R1: need alignment below threshold (score 8/30, need=transport)"
ITGMF,Airengy Tech Ltd,0.475,13109534.0,unknown,13,"R1: need alignment below threshold (score 8/30, need=unknown)"
AIRG,Airgain Inc. Common Stock,5.32,69693245.0,infrastructure,27,"R1: need alignment below threshold (score 15/30, need=infrastructure)"
AILQF,AirIQ Inc.,0.3603,10642208.0,unknown,13,"R1: need alignment below threshold (score 8/30, need=unknown)"
AIRO,AIRO Group Holdings Inc. Common Stock,8.14,256865164.0,transport,30,"R1: need alignment below threshold (score 15/30, need=transport)"
ARPTF,Airport City Ltd.,14.44,1530965760.0,shelter,26,"R1: need alignment below threshold (score 8/30, need=shelter)"
AIPUY,Airports of Thailand Public Company Limited,18.9,26999971840.0,transport,38,"R1: need alignment below threshold (score 18/30, need=transport)"
AAFRF,Airtel Africa Plc,4.58,16627393536.0,infrastructure,34,"R1: need alignment below threshold (score 14/30, need=infrastructure)"
AITLF,"Airtificial Intelligence Structures, S.A.",0.0696,108286544.0,unknown,17,"R1: need alignment below threshold (score 8/30, need=unknown)"
EOVBF,AirTrip Corp.,13.0,284691616.0,discretionary,19,"R1: need alignment below threshold (score 4/30, need=discretionary)"
AIXC,AIxCrypto Holdings Inc. Common Stock,0.9317,18852943.0,finance,9,"R1: need alignment below threshold (score 4/30, need=finance)"
AKAM,Akamai Technologies Inc. Common Stock,105.74,15196594176.0,software,32,"R1: need alignment below threshold (score 12/30, need=software)"
AKKVF,Akastor ASA,1.4,381581408.0,energy,25,"R1: need alignment below threshold (score 10/30, need=energy)"
AKAFF,Akatsuki Inc.,13.72,165082736.0,discretionary,17,"R1: need alignment below threshold (score 2/30, need=discretionary)"
AKAAF,Aker ASA,149.0,10991175680.0,conglomerate,32,"R1: need alignment below threshold (score 12/30, need=conglomerate)"
AKRYY,Aker Solutions ASA,9.4,2284447488.0,energy,30,"R1: need alignment below threshold (score 10/30, need=energy)"
AKTAF,AKITA Drilling Ltd.,2.84,163288288.0,energy,23,"R1: need alignment below threshold (score 8/30, need=energy)"
AKOBF,Akobo Minerals AB (publ),0.2028,46546248.0,materials,12,"R1: need alignment below threshold (score 3/30, need=materials)"
AKZOY,AKZO NOBEL NV,23.61,12141476864.0,infrastructure,36,"R1: need alignment below threshold (score 16/30, need=infrastructure)"
SYANY,AL Sydbank A/S,17.94,7612825600.0,finance,25,"R1: need alignment below threshold (score 5/30, need=finance)"
AGI,Alamos Gold Inc. Class A Common Shares,39.02,16387050337.0,materials,23,"R1: need alignment below threshold (score 3/30, need=materials)"
ALRPF,"Alantra Partners, S.A.",9.5,359857760.0,finance,18,"R1: need alignment below threshold (score 3/30, need=finance)"
ALAR,Alarum Technologies Ltd. American Depositary Share,1.66,12035782.0,software,17,"R1: need alignment below threshold (score 12/30, need=software)"
ALK,Alaska Air Group Inc. Common Stock,43.33,4835763200.0,transport,38,"R1: need alignment below threshold (score 18/30, need=transport)"
WAMFF,Alaska Silver Corp.,0.535,59678852.0,materials,15,"R1: need alignment below threshold (score 3/30, need=materials)"
AIN,Albany International Corporation Common Stock,58.15,1651460000.0,clothing,26,"R1: need alignment below threshold (score 8/30, need=clothing)"
