ticker,company,listing
FELTF,"Fuji Electric Co., Ltd.",otc
FJTNF,"Fuji Media Holdings, Inc.",otc
FUJIF,FUJIFILM Holdings Corporation,otc
FKURF,Fujikura Ltd/ADR,sec_only
FJTSF,Fujitsu Limited,otc
FKKFF,"Fukuoka Financial Group, Inc.",otc
FUWAF,"Furukawa Electric Co., Ltd.",otc
FIGIF,"Fuyao Glass Industry Group Co., Ltd./ADR",sec_only
GXYYY,Galaxy Entertainment Group Limited,otc
GALDY,Galderma Group AG/ADR,sec_only
GLPEF,"Galp Energia, SGPS, S.A.",otc
GWKSY,GAMES WORKSHOP GROUP PLC/ADR,sec_only
GNENY,"Ganfeng Lithium Group Co., Ltd.",otc
GZPZY,Gaztransport & Technigaz SA,otc
GBERF,Geberit AG,otc
GEDSF,Gedeon Richter PLC,otc
GELHY,Geely Automobile Holdings Limited/ADR,sec_only
GEGYY,Genel Energy plc,otc
GNMSF,Genmab A/S,otc
GIGNF,Genting Singapore Limited,otc
GENSY,Genus plc,otc
WNGPF,George Weston Limited,otc
GRRMY,Gerresheimer AG,otc
GNGBF,Getinge AB (publ),otc
GRPTY,Getlink SE,otc
GBNXY,Gibson Energy Inc/ADR,sec_only
GVDBF,Givaudan SA,otc
GJNSF,Gjensidige Forsikring ASA,otc
GLAPY,Glanbia plc,otc
GLCNF,Glencore plc/ADR,sec_only
GLVPY,GLENVEAGH PROPERTIES PLC/ADR,sec_only
GBCMY,Global Bio-chem Technology Group Co. Ltd / ADR,sec_only
LRSND,Global Health Clinics Ltd.,otc
GLTK,GlobalTech Corp,sec_only
GTMEF,"Globe Telecom, Inc.",otc
GMYOY,"GMO internet group, Inc.",otc
GNNDY,GN Store Nord A/S,otc
GARPF,Golden Agri-Resources Ltd,otc
XJNGF,"Goldwind Science&Technology Co., Ltd.",otc
GGRPY,GPT Group/ADR,sec_only
GHC,Graham Holdings Company Common Stock,exchange
GRNCY,GrainCorp Limited,otc
GRNNF,Grand City Properties S.A.,otc
GWLLF,Great Wall Motor Company Limited,otc
GRWLF,Great-West Lifeco Inc,otc
GWLPF,Great-West Lifeco Inc,otc
GWLIF,GREAT-WEST LIFECO INC.,sec_only
GTLRY,Greatland Resources Limited/ADR,sec_only
GNCGF,Greencore Group plc,otc
GVLMY,Greenvale Energy Ltd,otc
GGGSY,Greggs plc,otc
GIFLF,"Grifols, S.A.",otc
GIFOF,"Grifols, S.A.",otc
GRDLF,Grindrod Limited,otc
GBLBY,Groupe Bruxelles Lambert SA,otc
GMKKY,"Gruma, S.A.B. de C.V.",otc
GAERF,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V.",otc
GMBXF,"Grupo México, S.A.B. de C.V.",otc
GNZUF,"Guangzhou Automobile Group Co., Ltd.",otc
GZUHY,"Guangzhou R&F Properties Co., Ltd.",otc
HLUBF,H. Lundbeck A/S,otc
HRSHF,"Haier Smart Home Co., Ltd.",otc
HKUOF,Hakuhodo DY Holdings Inc,otc
HLFDF,Halfords Group plc,otc
HALMY,Halma plc,otc
HPHTY,Hamamatsu Photonics K.K./ADR,sec_only
HMICF,Hana Microelectronics Public Company Limited,otc
HNAMY,HANA MICROELECTRONICS PUBLIC CO LTD /ADR/,sec_only
HVRRF,Hannover Rück SE,otc
HNPHY,Hansoh Pharmaceutical Group Co Limited/ADR,sec_only
HLAGF,Hapag-Lloyd Aktiengesellschaft,otc
HBRIY,Harbour Energy plc,otc
HGMCF,Harmony Gold Mining Company Limited,otc
HNORY,Harvey Norman Holdings Limited,otc
HSKCF,HASEKO Corporation,otc
NAFS,"Havana Roasters Coffee Companies, Inc.",sec_only
HVNVY,Havas N.V.,otc
HAWPF,Haw Par Corporation Limited,otc
HAYPY,Hays plc,otc
HLBZF,Heidelberg Materials AG,otc
HBGRY,Heidelberger Druckmaschinen Aktiengesellschaft,otc
HLICF,Helical plc,otc
HLLGY,HELLA GmbH & Co. KGaA,otc
HLTOF,Hellenic Telecommunications Organization S.A.,otc
HLPXF,HELLENiQ ENERGY Holdings S.A.,otc
HELFY,HelloFresh SE,otc
HELNF,Helvetia Baloise Holding AG,otc
HLDCY,Henderson Land Development Company Limited,otc
HENOF,Henkel AG & Co. KGaA,otc
HENKY,Henkel AG & Co. KGaA,otc
HELKF,Henkel AG & Co. KGaA,otc
