ticker,company,price,cap,need,verdict,r3_fin_score,reason
UFPT,UFP Technologies Inc. Common Stock,304.21,2356346624.0,health,B,19,R3: ranked below R4 cut (composite need+financial score)
WUXIF,"WuXi AppTec Co., Ltd.",26.655,79532048384.0,health,A,17,R3: ranked below R4 cut (composite need+financial score)
ACHC,Acadia Healthcare Company Inc. Common Stock,29.87,2780905214.0,health,B,10,R3: ranked below R4 cut (composite need+financial score)
AXGN,Axogen Inc. Common Stock,49.93,2684312320.0,health,B,22,R3: ranked below R4 cut (composite need+financial score)
GEHC,GE HealthCare Technologies Inc. Common Stock ,73.91,33384132608.0,health,B,19,R3: ranked below R4 cut (composite need+financial score)
GRAL,GRAIL Inc. Common Stock ,82.54,3686750720.0,health,B,22,R3: ranked below R4 cut (composite need+financial score)
HSIC,Henry Schein Inc. Common Stock,89.65,9991182336.0,health,B,19,R3: ranked below R4 cut (composite need+financial score)
ILMN,Illumina Inc. Common Stock,224.99,33973491712.0,health,A,20,R3: ranked below R4 cut (composite need+financial score)
LH,Labcorp Holdings Inc. Common Stock,337.68,27385847808.0,health,B,17,R3: ranked below R4 cut (composite need+financial score)
MDT,Medtronic plc. Ordinary Shares,91.14,116657446912.0,health,B,20,R3: ranked below R4 cut (composite need+financial score)
DGX,Quest Diagnostics Incorporated Common Stock,244.51,26987388928.0,health,B,19,R3: ranked below R4 cut (composite need+financial score)
RDNT,RadNet Inc. Common Stock,76.86,6048709632.0,health,B,20,R3: ranked below R4 cut (composite need+financial score)
BBNX,Beta Bionics Inc. Common Stock,19.34,870100544.0,health,B,22,R3: ranked below R4 cut (composite need+financial score)
BMLKF,"BML, Inc.",25.207,944849152.0,health,B,12,R3: ranked below R4 cut (composite need+financial score)
BWAY,BrainsWay Ltd. American Depositary Shares,14.43,579926720.0,health,B,22,R3: ranked below R4 cut (composite need+financial score)
GRRMF,Gerresheimer AG,32.2,1112188032.0,health,B,11,R3: ranked below R4 cut (composite need+financial score)
JNDOF,JINS HOLDINGS Inc.,38.43,897164160.0,health,B,18,R3: ranked below R4 cut (composite need+financial score)
KMTS,Kestra Medical Technologies Ltd. Common Stock,26.92,1577596032.0,health,B,20,R3: ranked below R4 cut (composite need+financial score)
MNICF,"Mani, Inc.",12.82,1262803328.0,health,B,16,R3: ranked below R4 cut (composite need+financial score)
MDRSF,Medartis Holding AG,115.0,1431344128.0,health,B,18,R3: ranked below R4 cut (composite need+financial score)
PRCT,PROCEPT BioRobotics Corporation Common Stock,21.6,1229447040.0,health,A,20,R3: ranked below R4 cut (composite need+financial score)
QDEL,QuidelOrtho Corporation Common Stock,15.05,1032060160.0,health,B,11,R3: ranked below R4 cut (composite need+financial score)
XVIPF,Xvivo Perfusion AB (publ),30.95,974908608.0,health,A,20,R3: ranked below R4 cut (composite need+financial score)
ALC,Alcon Inc. Ordinary Shares,73.37,35467059200.0,health,A,20,R3: ranked below R4 cut (composite need+financial score)
